Date,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF,HOOD,BLND,WPLCF,TOST,RELY,BKKT,NRDS,NU,AVDX,DAVE,EXFY
03/31/2015,"nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Between 20%40%,62%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","5.3,Between 20%40%,34%","nan,Between 20%40%,nan","14.1,Less than 20%,43%","nan,Between 20%40%,nan","nan,Greater than 40%,145%","nan,Less than 20%,15%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","9.6,Greater than 40%,21%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,nan,nan","nan,Less than 20%,nan","8.6,Between 20%40%,42%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","35.5,Greater than 40%,77%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
06/30/2015,"nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Between 20%40%,62%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","3.7,Between 20%40%,25%","nan,Between 20%40%,nan","12.8,Less than 20%,48%","nan,Between 20%40%,nan","nan,Greater than 40%,145%","nan,Less than 20%,17%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","10.5,Greater than 40%,21%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,nan,nan","nan,Less than 20%,nan","10.8,Between 20%40%,42%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","21.0,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","15.6,Greater than 40%,75%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
09/30/2015,"nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","2.6,Between 20%40%,22%","nan,Between 20%40%,nan","10.5,Less than 20%,53%","nan,Between 20%40%,nan","nan,Greater than 40%,145%","nan,Less than 20%,15%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","6.5,Greater than 40%,19%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,nan,nan","3.9,Less than 20%,nan","8.9,Between 20%40%,38%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","18.4,Greater than 40%,nan","nan,Less than 20%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","13.0,Greater than 40%,74%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
12/31/2015,"nan,Greater than 40%,115%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Between 20%40%,62%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","3.0,Between 20%40%,21%","nan,Between 20%40%,nan","9.6,Less than 20%,42%","nan,Between 20%40%,nan","nan,Greater than 40%,144%","nan,Less than 20%,13%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","7.9,Greater than 40%,17%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,105%","nan,Between 20%40%,nan","nan,nan,nan","4.5,Less than 20%,15%","9.0,Between 20%40%,38%","nan,Greater than 40%,49%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","10.5,Greater than 40%,95%","nan,Less than 20%,nan","4.1,Greater than 40%,49%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,11%","15.7,Greater than 40%,70%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
03/31/2016,"nan,Greater than 40%,115%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","3.3,Between 20%40%,24%","nan,Between 20%40%,nan","9.6,Less than 20%,25%","nan,Between 20%40%,nan","nan,Greater than 40%,144%","nan,Less than 20%,2%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","7.9,Greater than 40%,12%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,105%","nan,Between 20%40%,nan","nan,nan,nan","4.7,Less than 20%,16%","7.6,Between 20%40%,37%","nan,Greater than 40%,49%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","10.4,Greater than 40%,95%","nan,Less than 20%,nan","3.7,Greater than 40%,53%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,2%","11.4,Greater than 40%,67%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
06/30/2016,"nan,Greater than 40%,115%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","3.7,Between 20%40%,29%","nan,Between 20%40%,nan","9.2,Less than 20%,15%","nan,Between 20%40%,nan","nan,Greater than 40%,144%","nan,Less than 20%,1%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","9.3,Greater than 40%,16%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,105%","nan,Between 20%40%,nan","nan,nan,nan","4.1,Less than 20%,16%","8.4,Between 20%40%,37%","nan,Greater than 40%,49%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","10.0,Greater than 40%,95%","nan,Less than 20%,nan","1.9,Greater than 40%,47%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,4%","11.8,Greater than 40%,60%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
09/30/2016,"nan,Greater than 40%,115%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","nan,Between 20%40%,49%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","3.7,Between 20%40%,36%","nan,Between 20%40%,nan","10.7,Less than 20%,6%","nan,Between 20%40%,nan","nan,Greater than 40%,144%","nan,Less than 20%,1%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","11.4,Greater than 40%,22%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,105%","nan,Between 20%40%,nan","nan,nan,nan","4.3,Less than 20%,17%","8.1,Between 20%40%,38%","nan,Greater than 40%,49%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","12.6,Greater than 40%,93%","nan,Less than 20%,nan","2.3,Greater than 40%,43%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,17%","12.6,Greater than 40%,55%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
12/31/2016,"nan,Greater than 40%,99%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,36%","nan,Greater than 40%,nan","nan,Less than 20%,nan","13.0,Between 20%40%,53%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","3.2,Between 20%40%,37%","nan,Between 20%40%,nan","9.5,Less than 20%,8%","nan,Between 20%40%,nan","nan,Greater than 40%,59%","nan,Less than 20%,3%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","8.8,Greater than 40%,30%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,71%","nan,Between 20%40%,nan","nan,nan,nan","4.0,Less than 20%,17%","7.7,Between 20%40%,38%","nan,Greater than 40%,43%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","10.4,Greater than 40%,90%","nan,Less than 20%,nan","2.6,Greater than 40%,35%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,14%","9.1,Greater than 40%,48%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
03/31/2017,"nan,Greater than 40%,99%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","11.5,Between 20%40%,46%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","2.8,Between 20%40%,32%","nan,Between 20%40%,nan","9.4,Less than 20%,14%","nan,Between 20%40%,nan","nan,Greater than 40%,59%","nan,Less than 20%,8%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,39%","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","10.9,Greater than 40%,45%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,nan,nan","4.3,Less than 20%,17%","8.7,Between 20%40%,36%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","14.8,Greater than 40%,85%","nan,Less than 20%,nan","3.4,Greater than 40%,28%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,17%","9.8,Greater than 40%,43%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
06/30/2017,"nan,Greater than 40%,99%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","12.8,Between 20%40%,45%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","3.3,Between 20%40%,27%","nan,Between 20%40%,nan","8.5,Less than 20%,20%","nan,Between 20%40%,nan","nan,Greater than 40%,59%","nan,Less than 20%,14%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,39%","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","11.3,Greater than 40%,47%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,nan,nan","5.4,Less than 20%,18%","8.9,Between 20%40%,35%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","18.2,Greater than 40%,80%","nan,Less than 20%,nan","4.6,Greater than 40%,25%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,22%","11.9,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
09/30/2017,"nan,Greater than 40%,99%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","11.3,Between 20%40%,43%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Less than 20%,nan","3.9,Between 20%40%,21%","nan,Between 20%40%,nan","8.5,Less than 20%,23%","nan,Between 20%40%,nan","nan,Greater than 40%,59%","nan,Less than 20%,20%","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,39%","nan,Greater than 40%,72%","nan,Between 20%40%,nan","nan,Greater than 40%,nan","10.4,Greater than 40%,45%","nan,Less than 20%,nan","nan,nan,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,nan,nan","6.2,Less than 20%,18%","9.5,Between 20%40%,33%","8.9,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","20.8,Greater than 40%,76%","nan,Less than 20%,nan","5.5,Greater than 40%,26%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,4%","14.1,Greater than 40%,37%","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,Between 20%40%,nan","nan,Greater than 40%,nan","nan,Greater than 40%,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan"
